	ag	test type	repl	loss	acc	recall	prec	f1
67	5E94	closed	10	0.2883932590484619	0.8950354609929078	0.9412244897959183	0.8526004436775942	0.8947232281427833
68	5E94	open	8	0.13390372693538666	0.9617687074829931	0.9312925170068027	0.9917415241958852	0.9605669379736178
69	5E94	closed	8	0.2878820598125458	0.8920051579626048	0.9312925170068027	0.8540237055520898	0.8909860071591278
70	5E94	open	9	0.13333940505981445	0.9611564625850341	0.9310204081632653	0.9907340379325322	0.9599494984919688
71	5E94	closed	9	0.2921299934387207	0.8912314635718891	0.9310204081632653	0.8529228468154058	0.890262147921681
72	5E94	open	2	0.136032372713089	0.959047619047619	0.9273469387755102	0.990122022080186	0.9577068989742868
73	5E94	closed	2	0.29333946108818054	0.8880722114764668	0.9273469387755102	0.8500873035669743	0.8870380010411244
74	5E94	open	6	0.13571813702583313	0.9594557823129252	0.9274829931972789	0.990843023255814	0.9581166549543219
75	5E94	closed	6	0.2902158796787262	0.8924564796905222	0.9274829931972789	0.8572686116700201	0.8909946412233696
76	5E94	open	7	0.13445208966732025	0.9602721088435374	0.9289795918367347	0.9910014513788099	0.9589887640449438
77	5E94	closed	7	0.28912603855133057	0.8927143778207608	0.9289795918367347	0.8567126725219574	0.8913838120104439
78	5E94	open	3	0.13613606989383698	0.9614965986394558	0.9310204081632653	0.9914517531150391	0.9602862756104406
79	5E94	closed	3	0.285533607006073	0.8934235976789169	0.9310204081632653	0.856552760045062	0.8922354781928418
80	1H0D	open	5	2.1705167293548584	0.6778231292517006	0.9461224489795919	0.6157251638037896	0.7459772580991203
81	1H0D	closed	5	0.16592101752758026	0.9404518851231796	0.9461224489795919	0.935557648325037	0.9408103903131977
82	1H0D	open	1	1.7024513483047485	0.6707482993197279	0.9458503401360544	0.610145690714411	0.7417840375586855
83	1H0D	closed	1	0.1720617115497589	0.9346672111065741	0.9458503401360544	0.9252062816076657	0.9354144241119484
84	1H0D	open	10	1.9040738344192505	0.658639455782313	0.9497959183673469	0.6002579535683576	0.7356164383561643
85	1H0D	closed	10	0.16108186542987823	0.9410643800190553	0.9497959183673469	0.9335383792457876	0.9415969786889667
86	1H0D	open	4	1.960516095161438	0.6727891156462585	0.9499319727891157	0.6111694677871149	0.7437946095664217
87	1H0D	closed	4	0.16076433658599854	0.9397032802504424	0.9499319727891157	0.9309333333333333	0.9403367003367004
88	1H0D	open	3	1.6130958795547485	0.6901360544217687	0.9463945578231292	0.6257083745614824	0.7533438024584395
89	1H0D	closed	3	0.15961940586566925	0.9388185654008439	0.9463945578231292	0.9323147031229058	0.9393018702315846
90	1H0D	open	7	1.5593266487121582	0.6996598639455782	0.9450340136054421	0.6339326457972073	0.7588354181460645
91	1H0D	closed	7	0.16706688702106476	0.9382741254933986	0.9450340136054421	0.9324741576050477	0.9387120751402122
92	1H0D	open	6	2.110980749130249	0.6600680272108843	0.946530612244898	0.6017645532393392	0.7357622547723547
93	1H0D	closed	6	0.15877394378185272	0.939567170273581	0.946530612244898	0.9335748792270532	0.940008107012566
94	1H0D	open	2	1.52695894241333	0.6742857142857143	0.9481632653061225	0.6126054852320675	0.7443127202819609
95	1H0D	closed	2	0.1672838032245636	0.9362324758404791	0.9481632653061225	0.9261129568106312	0.9370084033613445
96	1H0D	open	9	1.5509734153747559	0.6803401360544218	0.9541496598639456	0.6165274725274725	0.7490520694259013
97	1H0D	closed	9	0.1714688092470169	0.9367088607594937	0.9541496598639456	0.9220352353405207	0.9378175982883123
98	1H0D	open	8	1.4342137575149536	0.7003401360544218	0.9493877551020408	0.6337299064571792	0.7600893197538261
99	1H0D	closed	8	0.16765907406806946	0.936640805771063	0.9493877551020408	0.9258325593737561	0.9374622153556794
100	1WEJ	open	8	0.6411401629447937	0.8606802721088436	0.9431292517006803	0.8096239196449427	0.8712921065862242
