,ag,test type,trained on,repl,loss,acc,recall,prec,f1
62,1ADQ,looser,1 vs all,5,0.7866693735122681,0.6984353741496598,0.9002721088435374,0.6413686149074344,0.7490802060338484
63,1ADQ,looser,1 vs all,9,0.813452422618866,0.6893197278911565,0.8985034013605442,0.6334772182254197,0.7430661040787624
64,1ADQ,looser,1 vs all,7,0.7527917623519897,0.6836054421768708,0.9046258503401361,0.627323332389848,0.7408769290768288
65,1ADQ,looser,1 vs all,2,0.7925453186035156,0.6903401360544218,0.8951020408163265,0.6350386100386101,0.7429700734048561
66,1ADQ,looser,1 vs all,10,0.7997400164604187,0.6891156462585034,0.9069387755102041,0.6317285822592873,0.7447212601943917
67,1ADQ,looser,1 vs all,4,0.8125219345092773,0.6934013605442176,0.9118367346938776,0.6345989963071679,0.748366925353135
68,1ADQ,looser,1 vs all,8,0.8043901920318604,0.6994557823129252,0.9099319727891156,0.6403676752202221,0.7517140609194111
69,1ADQ,looser,1 vs all,6,0.8235058784484863,0.6848979591836735,0.9068027210884354,0.6280625706747078,0.7421222581004342
70,1FBI,looser,1 vs all,10,1.0048078298568726,0.6299319727891156,0.9753741496598639,0.5768426134534921,0.7249469107088683
71,1FBI,looser,1 vs all,2,0.9773768782615662,0.6416326530612245,0.9680272108843537,0.5856931182087587,0.7298184429172223
72,1FBI,looser,1 vs all,6,1.009278416633606,0.6327891156462585,0.9738775510204082,0.5789388547395665,0.7261844374556155
73,1FBI,looser,1 vs all,4,0.9886897802352905,0.6331292517006802,0.9729251700680273,0.5792628594572702,0.7261741558771262
74,1FBI,looser,1 vs all,8,1.0639845132827759,0.6231972789115646,0.977687074829932,0.5720882095374572,0.7218120636833912
75,1FBI,looser,1 vs all,1,1.0680453777313232,0.6249659863945578,0.9749659863945578,0.5735094037615046,0.7221970269589316
76,1FBI,looser,1 vs all,3,0.945889949798584,0.6418367346938776,0.9670748299319728,0.5859368559887891,0.7297366664955599
77,1FBI,looser,1 vs all,7,1.0176080465316772,0.6285034013605442,0.9756462585034014,0.5758451778687866,0.7242337019643488
78,1FBI,looser,1 vs all,5,1.1127207279205322,0.611360544217687,0.9768707482993197,0.5643323115617386,0.7153888307676979
79,1FBI,looser,1 vs all,9,1.0976841449737549,0.6103401360544217,0.9749659863945578,0.563808025177026,0.714456630109671
80,2YPV,looser,1 vs all,8,1.3310878276824951,0.6097278911564625,0.9306122448979591,0.566835170299163,0.7045372611628984
81,2YPV,looser,1 vs all,4,1.329172134399414,0.6128571428571429,0.9304761904761905,0.569015725101922,0.7061799783158657
82,2YPV,looser,1 vs all,6,1.3229273557662964,0.6127210884353741,0.9254421768707483,0.56934795346112,0.7049800487122352
83,2YPV,looser,1 vs all,2,1.3186498880386353,0.6048979591836735,0.9338775510204081,0.5632693254554406,0.7027027027027027
84,2YPV,looser,1 vs all,9,1.348822832107544,0.6087755102040816,0.9287074829931973,0.566332033518626,0.7036025356903571
85,2YPV,looser,1 vs all,5,1.3343689441680908,0.6095918367346939,0.9274829931972789,0.5669965898694169,0.7037629690806793
86,2YPV,looser,1 vs all,10,1.3455713987350464,0.6101360544217687,0.9292517006802721,0.5672286354953907,0.7044505182816769
87,2YPV,looser,1 vs all,7,1.3349131345748901,0.6091836734693877,0.9322448979591836,0.5663277956855939,0.7046120623168287
88,2YPV,looser,1 vs all,3,1.3138926029205322,0.6104761904761905,0.9317006802721088,0.5672630881378397,0.7051796931315005
89,2YPV,looser,1 vs all,1,1.3188984394073486,0.6144897959183674,0.9295238095238095,0.5702362073282697,0.70684392943976
90,1OB1,looser,1 vs all,10,0.8150365948677063,0.6820408163265306,0.9530612244897959,0.6180518793012175,0.749839434810533
91,1OB1,looser,1 vs all,1,0.7738025188446045,0.689047619047619,0.9579591836734694,0.6229319649650535,0.7549455851605639
92,1OB1,looser,1 vs all,3,0.816392183303833,0.6917006802721088,0.9585034013605442,0.625,0.7566319407152831
93,1OB1,looser,1 vs all,7,0.7876936197280884,0.6824489795918367,0.9560544217687075,0.6179212099894478,0.7506676637111419
94,1OB1,looser,1 vs all,9,0.7867333292961121,0.6912925170068027,0.9567346938775511,0.6249555634553857,0.7560477368024944
95,1OB1,looser,1 vs all,5,0.8221063613891602,0.6776190476190476,0.9522448979591837,0.614648283129885,0.7470779740620165
96,1OB1,looser,1 vs all,2,0.7424170970916748,0.6959863945578232,0.9492517006802721,0.6300912128601102,0.7574227867339738
97,1OB1,looser,1 vs all,6,0.8112477660179138,0.6836054421768708,0.9585034013605442,0.6184707225002195,0.7518275438877329
98,1OB1,looser,1 vs all,8,0.7992585897445679,0.6887755102040817,0.9549659863945579,0.6231909793127941,0.7542040509321442
99,1OB1,looser,1 vs all,4,0.7878075838088989,0.6928571428571428,0.9572789115646259,0.6261457684435348,0.7570882875127778
0,3VRL,1 vs all,1 vs all,7,0.11049336194992065,0.9610044916292364,0.9764625850340136,0.9472086577801241,0.9616131841629263
1,3VRL,1 vs all,1 vs all,5,0.11609944701194763,0.9619572614672656,0.9737414965986395,0.951349195799548,0.9624151146372621
2,3VRL,1 vs all,1 vs all,9,0.1198013573884964,0.9620933714441269,0.9731972789115646,0.9520830560362039,0.9625243894234004
3,3VRL,1 vs all,1 vs all,10,0.11044804751873016,0.9617530965019736,0.9745578231292517,0.9502520562483417,0.9622514777001612
4,3VRL,1 vs all,1 vs all,1,0.11088338494300842,0.9601878317680685,0.9761904761904762,0.9459459459459459,0.9608302644794108
5,3VRL,1 vs all,1 vs all,3,0.1173802986741066,0.9631141962705866,0.9733333333333334,0.9538666666666666,0.9635016835016835
6,3VRL,1 vs all,1 vs all,6,0.11156205087900162,0.9601878317680685,0.9736054421768707,0.9481913343050219,0.9607303483922938
7,3VRL,1 vs all,1 vs all,4,0.13153351843357086,0.9531781679597114,0.9756462585034014,0.9337239583333333,0.9542248835662009
8,3VRL,1 vs all,1 vs all,8,0.11675600707530975,0.961685041513543,0.9729251700680273,0.9515635395874917,0.9621257988563741
9,3VRL,1 vs all,1 vs all,2,0.11081194132566452,0.9610044916292364,0.9755102040816327,0.9480364934549782,0.9615771474552405
10,1NSN,1 vs all,1 vs all,5,0.16780446469783783,0.9365727507826324,0.9227210884353741,0.9490624125384831,0.9357064017660045
11,1NSN,1 vs all,1 vs all,9,0.16932953894138336,0.9350755410371581,0.9243537414965987,0.9446607341490545,0.9343969192683264
12,1NSN,1 vs all,1 vs all,7,0.16455453634262085,0.9385463454471212,0.9336054421768708,0.9429710045348357,0.9382648526697204
13,1NSN,1 vs all,1 vs all,10,0.17041629552841187,0.9356880359330338,0.9310204081632653,0.9398434281005357,0.9354111133893788
14,1NSN,1 vs all,1 vs all,3,0.16839036345481873,0.9360963658636178,0.9236734693877551,0.9472582670573462,0.9353172143004753
15,1NSN,1 vs all,1 vs all,1,0.16669470071792603,0.9354158159793113,0.9240816326530612,0.9455659195322289,0.9347003371636965
16,1NSN,1 vs all,1 vs all,4,0.16598480939865112,0.9379338505512455,0.9285714285714286,0.9463394342762064,0.9373712402142563
17,1NSN,1 vs all,1 vs all,8,0.1698293834924698,0.9355519259561725,0.9268027210884354,0.9433596454784656,0.935007892388992
18,1NSN,1 vs all,1 vs all,6,0.17076511681079865,0.9363685858173404,0.9357823129251701,0.9369295736275711,0.9363555918589612
19,1NSN,1 vs all,1 vs all,2,0.16558153927326202,0.9375935756090922,0.9263945578231293,0.947668754349339,0.9369109047127623
20,3RAJ,1 vs all,1 vs all,2,0.2602711617946625,0.9011161018102627,0.9244897959183673,0.8832705056544911,0.9034102240244632
21,3RAJ,1 vs all,1 vs all,8,0.25393742322921753,0.9017285967061386,0.9163265306122449,0.8904019037546271,0.9031782218050155
22,3RAJ,1 vs all,1 vs all,4,0.26304295659065247,0.9005036069143868,0.923265306122449,0.8831337844872462,0.9027537581481975
23,3RAJ,1 vs all,1 vs all,6,0.256276935338974,0.9026813665441676,0.9185034013605442,0.8903983117910842,0.9042325207607822
24,3RAJ,1 vs all,1 vs all,3,0.2564114034175873,0.9013883217639853,0.9136054421768708,0.8918847124452118,0.9026144230122993
25,3RAJ,1 vs all,1 vs all,1,0.2585866153240204,0.9008438818565401,0.9043537414965986,0.8981218754222402,0.9012270354552233
26,3RAJ,1 vs all,1 vs all,10,0.26052188873291016,0.898325847284606,0.9180952380952381,0.8832460732984293,0.9003335557038025
27,3RAJ,1 vs all,1 vs all,9,0.25895175337791443,0.9000272219953722,0.9151020408163265,0.8883899088627658,0.9015481536090074
28,3RAJ,1 vs all,1 vs all,5,0.2543114423751831,0.9013883217639853,0.9151020408163265,0.8907429479539134,0.9027582041473727
29,3RAJ,1 vs all,1 vs all,7,0.2602832317352295,0.8985300122498979,0.9165986394557823,0.8847012475377545,0.9003675242231874
30,5E94,1 vs all,1 vs all,5,0.3038294017314911,0.888394584139265,0.925578231292517,0.851759108551396,0.8871356849449045
31,5E94,1 vs all,1 vs all,9,0.3090158998966217,0.883043197936815,0.9110204081632653,0.8523421588594705,0.8807049848743919
