,ag,test type,repl,loss,acc,recall,prec,f1
42,3RAJ,open,6,1.0587390661239624,0.6272108843537415,0.9972789115646259,0.5731039874902267,0.7279046673286991
43,3RAJ,closed,6,0.0500730536878109,0.9877551020408163,0.9972789115646259,0.9786381842456608,0.9878706199460916
44,3RAJ,open,4,1.0906161069869995,0.6249659863945578,0.9970068027210884,0.5716514548716749,0.7266597253210373
45,3RAJ,closed,4,0.05145323649048805,0.9870068027210884,0.9970068027210884,0.9774576497265572,0.9871354482387014
46,3RAJ,open,8,1.0689425468444824,0.6242857142857143,0.9971428571428571,0.5711947626841244,0.7263267429760666
47,3RAJ,closed,8,0.050489358603954315,0.9874149659863946,0.9971428571428571,0.9781129053783532,0.9875362123559926
48,3RAJ,open,10,1.0725033283233643,0.6225850340136054,0.9974149659863946,0.5700622083981337,0.7254824344383968
49,3RAJ,closed,10,0.05005907639861107,0.987482993197279,0.9974149659863946,0.9779882604055496,0.9876060891822712
50,3RAJ,open,1,1.0917162895202637,0.6234693877551021,0.9972789115646259,0.570650058388478,0.7259222579846498
51,3RAJ,closed,1,0.05068996176123619,0.9874149659863946,0.9972789115646259,0.9779853235490327,0.9875378915459752
52,3RAJ,open,3,1.0703749656677246,0.6259183673469387,0.9971428571428571,0.5722651674865308,0.7271915463610656
53,3RAJ,closed,3,0.051108915358781815,0.987687074829932,0.9971428571428571,0.9786353318200026,0.9878024125614934
54,3RAJ,open,7,1.0764014720916748,0.6216326530612245,0.9971428571428571,0.5694638694638695,0.7249258160237388
55,3RAJ,closed,7,0.05071050673723221,0.9874149659863946,0.9971428571428571,0.9781129053783532,0.9875362123559926
56,3RAJ,open,5,1.11042058467865,0.6190476190476191,0.9974149659863946,0.5677664188351921,0.7236205705261081
57,3RAJ,closed,5,0.05246242508292198,0.9871428571428571,0.9974149659863946,0.9773363551526463,0.9872735842704194
58,3RAJ,open,9,1.068154215812683,0.6263265306122449,0.9972789115646259,0.5725220651409826,0.7274351213218876
59,3RAJ,closed,9,0.0502423495054245,0.9874149659863946,0.9972789115646259,0.9779853235490327,0.9875378915459752
