,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,10,relu,0.001,0.8274283877298952,vs_all,P49841,20,8
0,10,relu,0.001,0.8475627294722772,vs_all,P49841,30,8
0,10,relu,0.001,0.8257618056613031,vs_all,P49841,40,8
0,10,relu,0.001,0.8039101230056004,vs_all,P49841,100,8
0,10,relu,0.001,0.7938344923269547,vs_all,P49841,10,16
0,10,relu,0.001,0.8341454748489925,vs_all,P49841,20,16
0,10,relu,0.001,0.8156777151752026,vs_all,P49841,30,16
0,10,relu,0.001,0.8190616381571155,vs_all,P49841,40,16
0,10,relu,0.001,0.8157030945975668,vs_all,P49841,100,16
0,10,relu,0.001,0.7820922795797167,vs_all,P49841,10,32
0,10,relu,0.001,0.8274199279224405,vs_all,P49841,20,32
0,10,relu,0.001,0.8207113006107981,vs_all,P49841,30,32
0,10,relu,0.001,0.8190447185422061,vs_all,P49841,40,32
0,10,relu,0.001,0.8173696766661592,vs_all,P49841,100,32
0,10,relu,0.001,0.7485068439842308,vs_all,P49841,10,64
0,10,relu,0.001,0.8056020844965568,vs_all,P49841,20,64
0,10,relu,0.001,0.8240529245554371,vs_all,P49841,30,64
0,10,relu,0.001,0.8290949697984874,vs_all,P49841,40,64
0,10,relu,0.001,0.8207366800331624,vs_all,P49841,100,64
0,10,relu,0.001,0.8290526707612136,vs_Non-binder,P49841,10,8
0,10,relu,0.001,0.8441788064903643,vs_Non-binder,P49841,20,8
0,10,relu,0.001,0.8374532595638122,vs_Non-binder,P49841,30,8
0,10,relu,0.001,0.8357612980728558,vs_Non-binder,P49841,40,8
0,10,relu,0.001,0.8223609630644807,vs_Non-binder,P49841,100,8
0,10,relu,0.001,0.8323689152834882,vs_Non-binder,P49841,10,16
0,10,relu,0.001,0.8374617193712671,vs_Non-binder,P49841,20,16
0,10,relu,0.001,0.8357697578803106,vs_Non-binder,P49841,30,16
0,10,relu,0.001,0.8357782176877654,vs_Non-binder,P49841,40,16
0,10,relu,0.001,0.8273776288851667,vs_Non-binder,P49841,100,16
0,10,relu,0.001,0.8055344060369186,vs_Non-binder,P49841,10,32
0,10,relu,0.001,0.8374532595638122,vs_Non-binder,P49841,20,32
0,10,relu,0.001,0.8324281339356716,vs_Non-binder,P49841,30,32
0,10,relu,0.001,0.8391283014398591,vs_Non-binder,P49841,40,32
0,10,relu,0.001,0.8307361724447152,vs_Non-binder,P49841,100,32
0,10,relu,0.001,0.7954418557433632,vs_Non-binder,P49841,10,64
0,10,relu,0.001,0.8240106255181633,vs_Non-binder,P49841,20,64
0,10,relu,0.001,0.844153427068,vs_Non-binder,P49841,30,64
0,10,relu,0.001,0.8374447997563577,vs_Non-binder,P49841,40,64
0,10,relu,0.001,0.8341116356191733,vs_Non-binder,P49841,100,64
0,10,relu,0.001,0.7887755274689949,shuffled_weak,P49841,10,8
0,10,relu,0.001,0.8290865099910326,shuffled_weak,P49841,20,8
0,10,relu,0.001,0.8173442972437948,shuffled_weak,P49841,30,8
0,10,relu,0.001,0.8055513256518282,shuffled_weak,P49841,40,8
0,10,relu,0.001,0.8055767050741925,shuffled_weak,P49841,100,8
0,10,relu,0.001,0.78876706766154,shuffled_weak,P49841,10,16
0,10,relu,0.001,0.834120095426628,shuffled_weak,P49841,20,16
0,10,relu,0.001,0.8274114681149857,shuffled_weak,P49841,30,16
0,10,relu,0.001,0.8257364262389388,shuffled_weak,P49841,40,16
0,10,relu,0.001,0.8240698441703467,shuffled_weak,P49841,100,16
0,10,relu,0.001,0.7468233423007292,shuffled_weak,P49841,10,32
0,10,relu,0.001,0.8139772938767914,shuffled_weak,P49841,20,32
0,10,relu,0.001,0.8240698441703467,shuffled_weak,P49841,30,32
0,10,relu,0.001,0.8274283877298952,shuffled_weak,P49841,40,32
0,10,relu,0.001,0.8257448860463935,shuffled_weak,P49841,100,32
